,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
182,2015-03-01,8005329,7438471.0,8906380.0,8019280.0,7771916.0,8528253.666666666,8421483.333333334,8127959.25,641642.9988907389,4737311.791208792,2114224.9574433146,2109035.0,9239910.0
183,2015-04-01,8014957,8005329.0,9239910.0,8567662.0,7849561.0,8227903.333333333,8419158.166666666,8147410.333333333,643414.8210190691,4755169.8087431695,2122203.4139082897,2109035.0,9239910.0
184,2015-05-01,7870218,8014957.0,7438471.0,8357197.0,7911486.0,7819585.666666667,8327040.666666667,8161193.333333333,657316.4460619406,4772886.043478261,2129997.146458931,2109035.0,9239910.0
185,2015-06-01,7562473,7870218.0,8005329.0,8906380.0,6752206.0,7963501.333333333,8245877.5,8157754.333333333,682433.4894944216,4789628.378378378,2136372.489451302,2109035.0,9239910.0
186,2015-07-01,8917071,7562473.0,8014957.0,9239910.0,8463870.0,7815882.666666667,8021893.0,8225276.583333333,641613.7714529134,4804536.145161291,2140269.513835131,2109035.0,9239910.0
187,2015-08-01,2647,8917071.0,7870218.0,7438471.0,8257572.0,8116587.333333333,7968086.5,8263043.333333333,521296.1847801411,4826528.310160427,2155590.274022712,2109035.0,9239910.0
188,2015-09-01,7814992,2647.0,7562473.0,8005329.0,8019280.0,5494063.666666667,6728782.5,7575132.916666667,3325995.670025913,4800869.367021277,2178416.204687548,2647.0,9239910.0
189,2015-10-01,8056178,7814992.0,8917071.0,8014957.0,8567662.0,5578236.666666667,6697059.666666667,7558108.916666667,3312264.423848297,4816817.105820105,2183649.1465272014,2647.0,9239910.0
190,2015-11-01,7744849,8056178.0,2647.0,7870218.0,8357197.0,5291272.333333333,6703929.833333333,7515485.25,3315585.744181892,4833866.373684211,2190507.4985836735,2647.0,9239910.0
191,2015-12-01,8406734,7744849.0,7814992.0,7562473.0,8906380.0,7872006.333333333,6683035.0,7464456.25,3307150.108313141,4849107.1204188485,2194865.444211908,2647.0,9239910.0
